source,destination,status,size_kb
GENERATED,README.md,GENERATED,2.33
GENERATED,LICENSE,GENERATED,1.05
GENERATED,requirements.txt,GENERATED,0.08
GENERATED,environment.yml,GENERATED,0.17
GENERATED,.gitignore,GENERATED,0.25
GENERATED,configs/ml_latest_small_config.yaml,GENERATED,0.49
GENERATED,configs/ml1m_config.yaml,GENERATED,0.36
GENERATED,configs/selected_hyperparameters.yaml,GENERATED,0.49
/content/drive/MyDrive/xai_coupled_nmf_project/src/benchmark_utils.py,src/evaluation/benchmark_utils.py,COPIED,4.23
/content/drive/MyDrive/xai_coupled_nmf_project/src/benchmark_models.py,src/models/benchmark_models.py,COPIED,10.67
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_main_benchmarks.py,scripts/run_main_benchmarks_original.py,COPIED,16.18
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_coupled_nmf.py,src/models/run_coupled_nmf.py,COPIED,18.49
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_coupled_nmf_tuning.py,src/models/run_coupled_nmf_tuning.py,COPIED,25.39
/content/drive/MyDrive/xai_coupled_nmf_project/src/__init__.py,src/models/__init__.py,COPIED,0.05
/content/drive/MyDrive/xai_coupled_nmf_project/src/build_dataset_summary.py,src/models/build_dataset_summary.py,COPIED,1.84
/content/drive/MyDrive/xai_coupled_nmf_project/src/build_item_descriptors.py,src/models/build_item_descriptors.py,COPIED,4.05
/content/drive/MyDrive/xai_coupled_nmf_project/src/check_evaluation_pipeline.py,src/models/check_evaluation_pipeline.py,COPIED,2.16
/content/drive/MyDrive/xai_coupled_nmf_project/src/common.py,src/models/common.py,COPIED,4.9
/content/drive/MyDrive/xai_coupled_nmf_project/src/export_case_studies.py,src/models/export_case_studies.py,COPIED,1.62
/content/drive/MyDrive/xai_coupled_nmf_project/src/export_factor_keywords.py,src/models/export_factor_keywords.py,COPIED,1.87
/content/drive/MyDrive/xai_coupled_nmf_project/src/generate_splits.py,src/models/generate_splits.py,COPIED,2.68
/content/drive/MyDrive/xai_coupled_nmf_project/src/metrics.py,src/models/metrics.py,COPIED,1.36
/content/drive/MyDrive/xai_coupled_nmf_project/src/plot_alpha_sensitivity.py,src/models/plot_alpha_sensitivity.py,COPIED,1.55
/content/drive/MyDrive/xai_coupled_nmf_project/src/plot_factor_heatmap.py,src/models/plot_factor_heatmap.py,COPIED,1.51
/content/drive/MyDrive/xai_coupled_nmf_project/src/plot_k_sensitivity.py,src/models/plot_k_sensitivity.py,COPIED,1.52
/content/drive/MyDrive/xai_coupled_nmf_project/src/preprocess_ratings.py,src/models/preprocess_ratings.py,COPIED,2.58
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_ablation_study.py,src/models/run_ablation_study.py,COPIED,2.68
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_explanation_metrics.py,src/models/run_explanation_metrics.py,COPIED,16.6
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_significance_tests.py,src/models/run_significance_tests.py,COPIED,1.56
/content/drive/MyDrive/xai_coupled_nmf_project/src/run_sparsity_analysis.py,src/models/run_sparsity_analysis.py,COPIED,1.86
/content/drive/MyDrive/xai_coupled_nmf_project/src/schemas.py,src/models/schemas.py,COPIED,4.81
